CLB10589 RESOURCE57534
CLB1059 RESOURCE46453
CLB10590 RESOURCE48439
CLB10591 RESOURCE63150
CLB10592 RESOURCE62667
CLB10593 RESOURCE62665
CLB10594 RESOURCE60556
CLB10595 RESOURCE61132
CLB10596 RESOURCE46033
CLB10597 RESOURCE43688
CLB10598 RESOURCE68044
CLB10599 RESOURCE68524
CLB106 RESOURCE22958
CLB1060 RESOURCE48371
CLB10600 RESOURCE68521
CLB10601 RESOURCE68039
CLB10602 RESOURCE65644
CLB10603 RESOURCE66605
CLB10604 RESOURCE66606
CLB10605 RESOURCE65642
CLB10606 RESOURCE51096
CLB10607 RESOURCE64587
CLB10608 RESOURCE58690
CLB10609 RESOURCE66124
CLB1061 RESOURCE48375
CLB10610 RESOURCE67563
CLB10611 RESOURCE65164
CLB10612 RESOURCE67085
CLB10613 RESOURCE67084
CLB10614 RESOURCE55518
CLB10615 RESOURCE65165
CLB10616 RESOURCE64590
CLB10617 RESOURCE65166
CLB10618 RESOURCE68525
CLB10619 RESOURCE48596
CLB1062 RESOURCE49424
CLB10620 RESOURCE65647
CLB10621 RESOURCE65643
CLB10622 RESOURCE68045
CLB10623 RESOURCE68046
CLB10624 RESOURCE66603
CLB10625 RESOURCE66604
CLB10626 RESOURCE66121
CLB10627 RESOURCE67086
CLB10628 RESOURCE66608
CLB10629 RESOURCE65648
CLB1063 RESOURCE45495
CLB10630 RESOURCE53116
CLB10631 RESOURCE66609
CLB10632 RESOURCE41902
CLB10633 RESOURCE67568
CLB10634 RESOURCE40850
CLB10635 RESOURCE41330
CLB10636 RESOURCE66129
CLB10637 RESOURCE50617
CLB10638 RESOURCE41904
CLB10639 RESOURCE64589
CLB1064 RESOURCE45493
CLB10640 RESOURCE65641
CLB10641 RESOURCE66120
CLB10642 RESOURCE66122
CLB10643 RESOURCE56002
CLB10644 RESOURCE68043
CLB10645 RESOURCE67562
CLB10646 RESOURCE66123
CLB10647 RESOURCE68522
CLB10648 RESOURCE54560
CLB10649 RESOURCE41331
CLB1065 RESOURCE45494
CLB10650 RESOURCE41909
CLB10651 RESOURCE48115
CLB10652 RESOURCE67081
CLB10653 RESOURCE49655
CLB10654 RESOURCE50136
CLB10655 RESOURCE65640
CLB10656 RESOURCE49656
CLB10657 RESOURCE66600
CLB10658 RESOURCE44751
CLB10659 RESOURCE43692
CLB1066 RESOURCE46455
CLB10660 RESOURCE65639
CLB10661 RESOURCE65158
CLB10662 RESOURCE65160
CLB10663 RESOURCE67561
CLB10664 RESOURCE39888
CLB10665 RESOURCE63145
CLB10666 RESOURCE42534
CLB10667 RESOURCE44173
CLB10668 RESOURCE45714
CLB10669 RESOURCE47474
CLB1067 RESOURCE43959
CLB10670 RESOURCE38577
CLB10671 RESOURCE37038
CLB10672 RESOURCE38578
CLB10673 RESOURCE36556
CLB10674 RESOURCE37617
CLB10675 RESOURCE37042
CLB10676 RESOURCE36069
CLB10677 RESOURCE37618
CLB10678 RESOURCE37033
CLB10679 RESOURCE59583
CLB1068 RESOURCE45013
CLB10680 RESOURCE37032
CLB10681 RESOURCE36548
CLB10682 RESOURCE36073
CLB10683 RESOURCE38583
CLB10684 RESOURCE56416
CLB10685 RESOURCE37034
CLB10686 RESOURCE62657
CLB10687 RESOURCE63617
CLB10688 RESOURCE43216
CLB10689 RESOURCE38100
CLB1069 RESOURCE45976
CLB10690 RESOURCE41478
CLB10691 RESOURCE36076
CLB10692 RESOURCE41477
CLB10693 RESOURCE61599
CLB10694 RESOURCE61118
CLB10695 RESOURCE36551
CLB10696 RESOURCE37039
CLB10697 RESOURCE63618
CLB10698 RESOURCE36068
CLB10699 RESOURCE56412
CLB107 RESOURCE23437
CLB1070 RESOURCE44538
CLB10700 RESOURCE54494
CLB10701 RESOURCE38096
CLB10702 RESOURCE36559
CLB10703 RESOURCE36557
CLB10704 RESOURCE38586
CLB10705 RESOURCE37622
CLB10706 RESOURCE60067
CLB10707 RESOURCE56996
CLB10708 RESOURCE40035
CLB10709 RESOURCE58625
CLB1071 RESOURCE45498
CLB10710 RESOURCE61120
CLB10711 RESOURCE49496
CLB10712 RESOURCE35588
CLB10713 RESOURCE35596
CLB10714 RESOURCE35602
CLB10715 RESOURCE59107
CLB10716 RESOURCE46196
CLB10717 RESOURCE62659
CLB10718 RESOURCE56417
CLB10719 RESOURCE35105
CLB1072 RESOURCE47415
CLB10720 RESOURCE35103
CLB10721 RESOURCE36077
CLB10722 RESOURCE57472
CLB10723 RESOURCE59108
CLB10724 RESOURCE46678
CLB10725 RESOURCE38109
CLB10726 RESOURCE40997
CLB10727 RESOURCE40036
CLB10728 RESOURCE41479
CLB10729 RESOURCE40518
CLB1073 RESOURCE45978
CLB10730 RESOURCE45235
CLB10731 RESOURCE42058
CLB10732 RESOURCE45236
CLB10733 RESOURCE42059
CLB10734 RESOURCE47159
CLB10735 RESOURCE37640
CLB10736 RESOURCE35111
CLB10737 RESOURCE39873
CLB10738 RESOURCE38916
CLB10739 RESOURCE40357
CLB1074 RESOURCE48373
CLB10740 RESOURCE39876
CLB10741 RESOURCE38914
CLB10742 RESOURCE57468
CLB10743 RESOURCE35594
CLB10744 RESOURCE36080
CLB10745 RESOURCE34624
CLB10746 RESOURCE34146
CLB10747 RESOURCE34625
CLB10748 RESOURCE34622
CLB10749 RESOURCE35113
CLB1075 RESOURCE46929
CLB10750 RESOURCE59102
CLB10751 RESOURCE35112
CLB10752 RESOURCE57469
CLB10753 RESOURCE39874
CLB10754 RESOURCE34504
CLB10755 RESOURCE40358
CLB10756 RESOURCE40351
CLB10757 RESOURCE50139
CLB10758 RESOURCE52638
CLB10759 RESOURCE49657
CLB1076 RESOURCE47416
CLB10760 RESOURCE65627
CLB10761 RESOURCE55040
CLB10762 RESOURCE49658
CLB10763 RESOURCE40356
CLB10764 RESOURCE37047
CLB10765 RESOURCE48601
CLB10766 RESOURCE66110
CLB10767 RESOURCE66108
CLB10768 RESOURCE45716
CLB10769 RESOURCE55044
CLB1077 RESOURCE48376
CLB10770 RESOURCE67547
CLB10771 RESOURCE38917
CLB10772 RESOURCE48119
CLB10773 RESOURCE52640
CLB10774 RESOURCE38436
CLB10775 RESOURCE46198
CLB10776 RESOURCE66111
CLB10777 RESOURCE52062
CLB10778 RESOURCE52063
CLB10779 RESOURCE66113
CLB1078 RESOURCE46936
CLB10780 RESOURCE67072
CLB10781 RESOURCE66115
CLB10782 RESOURCE66114
CLB10783 RESOURCE67075
CLB10784 RESOURCE51582
CLB10785 RESOURCE37477
CLB10786 RESOURCE56001
CLB10787 RESOURCE67073
CLB10788 RESOURCE68030
CLB10789 RESOURCE66596
CLB1079 RESOURCE46457
CLB10790 RESOURCE49662
CLB10791 RESOURCE65638
CLB10792 RESOURCE52064
CLB10793 RESOURCE48602
CLB10794 RESOURCE37957
CLB10795 RESOURCE43695
CLB10796 RESOURCE65157
CLB10797 RESOURCE44755
CLB10798 RESOURCE37475
CLB10799 RESOURCE68515
CLB108 RESOURCE22960
CLB1080 RESOURCE46937
CLB10800 RESOURCE67555
CLB10801 RESOURCE67557
CLB10802 RESOURCE49659
CLB10803 RESOURCE54563
CLB10804 RESOURCE54083
CLB10805 RESOURCE50141
CLB10806 RESOURCE45237
CLB10807 RESOURCE43697
CLB10808 RESOURCE44179
CLB10809 RESOURCE68516
CLB1081 RESOURCE46458
CLB10810 RESOURCE39399
CLB10811 RESOURCE51583
CLB10812 RESOURCE68512
CLB10813 RESOURCE43698
CLB10814 RESOURCE40520
CLB10815 RESOURCE40515
CLB10816 RESOURCE49660
CLB10817 RESOURCE53122
CLB10818 RESOURCE66589
CLB10819 RESOURCE66591
CLB1082 RESOURCE58978
CLB10820 RESOURCE39877
CLB10821 RESOURCE68511
CLB10822 RESOURCE68510
CLB10823 RESOURCE40998
CLB10824 RESOURCE40353
CLB10825 RESOURCE39071
CLB10826 RESOURCE41002
CLB10827 RESOURCE39557
CLB10828 RESOURCE37048
CLB10829 RESOURCE36563
CLB1083 RESOURCE46459
CLB10830 RESOURCE37044
CLB10831 RESOURCE42539
CLB10832 RESOURCE65150
CLB10833 RESOURCE65153
CLB10834 RESOURCE34628
CLB10835 RESOURCE34629
CLB10836 RESOURCE39878
CLB10837 RESOURCE39881
CLB10838 RESOURCE33565
